"Credit liabilities of households 1 2 3","Non-mortgage loans","Chartered banks 1","Personal loans 1 2","Of which: Auto loans 1 2","Credit cards 1 2","Lines of credit 1 2 4","Lines of credit, of which: excluding home equity lines of credit 1 2","Other personal loans 1 2","Unincorporated business 1 2","Non-banks 1","Government 1 5","Non-bank financial corporations 1 5","Credit unions and caisse populaires 1 5","Trust companies and mortgage loan companies 1 5","Financial vehicle corporations engaged in securitization 1 6","Other financial corporations n.e.i. 1 7","Other lenders n.e.i. 1 8","Mortgage loans","Residential mortgages 9","Chartered banks 9 10","Non-banks 9 10","Government 9 10","Non-bank financial corporations 9 10 11","Credit unions and caisse populaires 9 10","Trust companies and mortgage loan companies 9 10","Financial vehicle corporations engaged in securitization 6 9 10","Of which: off balance-sheet NHA-MBS 9 10 12","Other financial corporations n.e.i. 7 9 10","Other lenders n.e.i. 8 9 10","Non-residential mortgages 9","Chartered banks 9 13","Non-banks 9 13","Government 9 13","Non-bank financial corporations 9 13","Credit unions and caisse populaires 9 13","Trust companies and mortgage loan companies 9 13","Financial vehicle corporations engaged in securitization 6 9 13","Other financial corporations n.e.i. 7 9 13","Other lenders n.e.i. 8 9 13","Total credit liabilities of households","Of which: real estate secured lending 14","Residential mortgages 14","Chartered banks 10 14","Non-banks 10 14","Non-residential mortgages 14","Chartered banks 13 14","Non-banks 13 14","Home equity lines of credit 14","Chartered banks 14","Non-banks 14 15"
"Reference period"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 2003","282,275","164,164","38,129","0","29,706","59,848","14,662","19,838","16,643","118,111","4,122","111,568","33,719","238","36,915","40,696","2,421","484,388","479,830","302,528","177,302","212","171,675","62,787","5,285","59,792","44,590","43,811","5,415","4,558","919","3,639","106","2,977","615","4","364","1,994","556","766,663","530,513","479,830","302,528","177,302","4,558","919","3,639","46,125","45,186","939"
"February 2003","282,644","165,500","38,103","0","30,030","60,955","14,882","19,880","16,532","117,144","4,049","110,634","34,142","233","36,202","40,057","2,461","485,750","481,164","305,002","176,162","214","170,501","63,121","5,500","58,462","43,797","43,418","5,447","4,586","932","3,654","107","2,993","616","3","363","2,011","554","768,394","532,768","481,164","305,002","176,162","4,586","932","3,654","47,018","46,073","945"
"March 2003","283,969","168,297","38,633","0","30,561","62,665","15,247","19,879","16,559","115,672","3,969","109,198","34,176","225","35,446","39,351","2,505","486,720","482,103","305,558","176,545","216","170,845","63,459","5,643","58,761","44,273","42,982","5,484","4,617","943","3,674","108","3,015","620","3","361","2,031","551","770,689","535,099","482,103","305,558","176,545","4,617","943","3,674","48,379","47,418","961"
"April 2003","286,881","169,723","38,838","0","30,988","63,407","15,496","19,907","16,583","117,158","4,401","110,249","34,289","248","36,340","39,372","2,508","489,039","484,391","305,752","178,639","223","172,931","63,941","5,729","60,124","45,544","43,137","5,485","4,648","945","3,703","112","3,044","620","3","385","2,036","547","775,920","537,913","484,391","305,752","178,639","4,648","945","3,703","48,874","47,911","963"
"May 2003","289,952","171,121","38,974","0","30,988","64,720","15,887","19,833","16,606","118,831","4,847","111,473","34,549","268","37,262","39,394","2,511","492,441","487,762","308,353","179,409","231","173,691","64,698","5,828","59,869","45,534","43,296","5,487","4,679","944","3,735","116","3,076","622","3","410","2,041","543","782,393","542,248","487,762","308,353","179,409","4,679","944","3,735","49,807","48,833","974"
"June 2003","294,038","173,542","39,193","0","31,764","65,980","16,268","19,880","16,725","120,496","5,279","112,703","34,848","287","38,153","39,415","2,514","494,618","489,908","307,403","182,505","239","176,778","65,793","5,791","61,743","47,214","43,451","5,488","4,710","941","3,769","120","3,110","627","3","434","2,046","539","788,656","545,313","489,908","307,403","182,505","4,710","941","3,769","50,695","49,712","983"
"July 2003","297,916","176,158","39,267","0","32,818","67,250","16,508","20,089","16,734","121,758","5,486","113,754","35,187","304","38,586","39,677","2,518","500,623","495,857","310,399","185,458","243","179,655","66,393","5,976","63,569","49,222","43,717","5,560","4,766","952","3,814","122","3,154","635","4","455","2,060","538","798,539","552,357","495,857","310,399","185,458","4,766","952","3,814","51,734","50,742","992"
"August 2003","298,883","175,778","39,260","0","31,977","68,166","16,658","19,920","16,455","123,105","5,692","114,891","35,604","327","39,021","39,939","2,522","504,450","499,637","313,263","186,374","246","180,496","67,026","6,072","63,415","49,646","43,983","5,632","4,813","965","3,848","123","3,189","637","4","474","2,074","536","803,333","556,954","499,637","313,263","186,374","4,813","965","3,848","52,504","51,508","996"
