"Estimates","Household final consumption expenditure","Food and non-alcoholic beverages","Food","Non-alcoholic beverages","Alcoholic beverages, tobacco and cannabis","Alcoholic beverages","Tobacco","Cannabis products for non-medical use (licensed)","Cannabis products for non-medical use (unlicensed)","Clothing and footwear","Clothing materials, other articles of clothing and clothing accessories","Garments","Cleaning of clothing","Footwear","Housing, water, electricity, gas and other fuels","Paid rental fees for housing","Imputed rental fees for housing","Materials for the maintenance and repair of the dwelling","Services for the maintenance and repair of the dwelling","Water supply and sanitation services","Electricity","Gas","Other fuels","Furnishings, household equipment and other goods and services related to the dwelling and property","Furniture and furnishings","Carpets and other floor coverings","Household textiles","Major household appliances","Small electric household appliances","Major tools and equipment","Small tools and miscellaneous accessories","Other semi-durable household goods","Other non-durable household goods","Repair of personal and household goods except vehicles","Renting and leasing of personal and household goods except passenger vehicles","Other services related to the dwelling and property","Health","Pharmaceutical products and other medical products (except cannabis)","Cannabis products for medical use","Therapeutic appliances and equipment","Out-patient services","Hospital services","Transport","New passenger cars","New trucks, vans and sport utility vehicles","Used motor vehicles","Other vehicles","Spare parts and accessories for vehicles","Fuels and lubricants","Maintenance and repair of vehicles","Parking","Passenger vehicle renting","Other services related to the operation of transport equipment","Railway transport","Urban transit","Interurban bus","Taxi and limousine","Air transport","Water transport","Other transport services","Communications","Postal services","Telecommunication equipment","Telecommunication services","Recreation and culture","Audio-visual and photographic equipment","Information processing equipment","Recording media","Major durables for outdoor recreation","Musical instruments and major durables for indoor recreation","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers","Pets and pet food","Veterinary and other services for pets","Recreational and sporting services","Cable, satellite and other program distribution services","Cinemas","Photographic services","Other cultural services","Games of chance","Books","Newspapers and periodicals","Miscellaneous printed matter and stationery and drawing materials","Education","University education","Other education","Food, beverage and accommodation services","Food and non-alcoholic beverage services","Alcoholic beverage services","Accommodation services","Insurance and financial services","Life insurance","Property insurance","Health insurance","Insurance related to transport","Implicit loan charges","Implicit deposit charges","Stock and bond commissions","Other actual financial charges","Trusteed pension funds","Mutual funds","Miscellaneous goods and services","Personal grooming services","Electrical appliances for personal care","Other appliances, articles and products for personal care","Jewellery, clocks and watches","Other personal effects","Child care services outside the home","Child care services in the home","Other social services","Undertaking and other funeral services","Legal and other services","Net expenditure abroad","Expenditure by Canadians abroad","Expenditure by non-residents in Canada"
"Q1 2003","168,235","16,079","14,292","1,787","8,114","3,441","3,291","..","1,382","7,952","753","5,773","347","1,079","38,097","8,182","23,254","477","59","763","2,911","1,638","813","9,945","2,791","138","602","1,028","283","530","424","1,151","1,299","475","585","639","6,020","2,598","0","505","2,544","373","25,336","4,898","4,441","2,057","438","2,287","5,801","1,497","347","222","269","52","570","178","156","1,659","72","392","3,908","236","133","3,539","16,456","1,836","663","657","1,207","251","969","913","599","581","311","1,564","1,210","241","240","429","3,253","597","540","395","2,056","964","1,092","12,030","8,309","1,994","1,727","13,948","1,894","320","1,001","1,176","2,208","2,015","460","2,073","476","2,325","8,479","1,412","98","2,361","760","499","700","266","911","338","1,134","-185","4,812","-4,997"
"Q2 2003","169,357","16,149","14,354","1,795","8,166","3,448","3,322","..","1,396","8,013","759","5,836","351","1,067","38,336","8,276","23,516","478","60","768","2,803","1,740","695","10,047","2,816","134","606","1,045","287","537","427","1,146","1,319","485","592","653","6,103","2,649","0","515","2,562","377","24,671","4,818","4,503","2,207","457","2,305","5,210","1,514","348","220","275","47","566","180","159","1,408","71","383","3,927","238","135","3,554","16,640","1,861","650","668","1,236","247","962","912","605","599","315","1,578","1,227","237","238","433","3,331","603","540","398","2,096","989","1,107","11,942","8,326","2,029","1,587","14,296","1,906","326","1,009","1,208","2,457","2,067","482","2,080","470","2,291","8,570","1,417","99","2,422","758","501","705","264","917","349","1,138","401","4,470","-4,069"
"Q3 2003","171,775","16,166","14,369","1,797","8,284","3,503","3,372","..","1,409","8,000","758","5,832","351","1,059","38,781","8,383","23,756","481","61","774","2,835","1,843","648","10,166","2,866","137","612","1,061","293","539","429","1,149","1,321","493","598","668","6,193","2,698","0","524","2,590","381","25,295","4,761","4,889","2,279","461","2,296","5,433","1,483","350","215","284","46","575","177","162","1,434","72","378","3,953","241","137","3,575","16,699","1,876","662","675","1,235","249","961","920","605","609","323","1,587","1,249","239","236","437","3,293","610","532","401","2,148","1,029","1,119","12,039","8,388","2,033","1,618","14,678","1,925","343","1,022","1,260","2,520","2,102","531","2,138","477","2,360","8,659","1,435","101","2,457","765","500","715","262","925","352","1,147","714","5,100","-4,386"
"Q4 2003","171,840","16,265","14,457","1,808","8,390","3,546","3,424","..","1,420","8,016","760","5,811","356","1,089","38,853","8,464","23,933","481","62","782","2,874","1,647","610","10,246","2,882","143","614","1,074","294","542","429","1,145","1,345","497","603","678","6,296","2,740","0","533","2,631","392","24,200","4,366","4,170","2,353","442","2,313","5,199","1,488","359","223","288","49","583","180","166","1,565","74","382","4,002","242","138","3,622","16,763","1,839","664","669","1,185","251","952","934","604","615","331","1,594","1,278","243","238","442","3,382","615","523","404","2,216","1,082","1,134","12,272","8,563","2,009","1,700","14,917","1,930","356","1,035","1,318","2,520","2,075","592","2,215","496","2,380","8,790","1,459","101","2,504","774","501","726","260","937","365","1,163","614","5,335","-4,721"
"Q1 2004","175,190","16,424","14,600","1,824","8,452","3,571","3,451","..","1,430","8,207","774","5,963","355","1,115","39,497","8,542","24,341","483","62","785","2,970","1,622","692","10,473","2,975","143","624","1,089","303","557","439","1,173","1,367","502","615","686","6,467","2,826","0","555","2,684","402","25,138","4,335","4,402","2,375","455","2,374","5,651","1,559","364","226","291","51","606","187","183","1,613","75","391","4,107","253","142","3,712","17,027","1,874","692","688","1,233","255","968","942","612","624","337","1,594","1,297","242","239","446","3,446","605","529","404","2,237","1,089","1,148","12,454","8,692","2,032","1,730","15,212","1,930","362","1,057","1,323","2,548","2,095","610","2,228","518","2,541","8,973","1,498","105","2,566","793","520","744","258","958","362","1,169","522","5,482","-4,960"
"Q2 2004","177,340","16,637","14,787","1,850","8,439","3,593","3,408","..","1,438","8,189","776","5,957","351","1,105","39,916","8,622","24,646","498","65","799","2,992","1,597","697","10,598","3,013","146","625","1,077","307","563","452","1,195","1,378","507","634","701","6,568","2,859","0","560","2,739","410","25,844","4,423","4,455","2,402","446","2,374","6,120","1,557","364","228","294","51","615","194","188","1,649","78","406","4,177","257","144","3,776","17,126","1,896","697","690","1,219","260","984","941","616","626","345","1,618","1,330","241","235","456","3,415","613","534","410","2,262","1,103","1,159","12,640","8,797","2,082","1,761","15,496","1,936","368","1,073","1,353","2,544","2,119","594","2,328","535","2,646","9,057","1,516","107","2,590","794","522","752","256","979","354","1,187","391","5,646","-5,255"
"Q3 2004","179,268","16,856","14,984","1,872","8,493","3,661","3,389","..","1,443","8,241","782","6,011","349","1,099","40,556","8,698","24,930","518","66","815","3,048","1,754","727","10,754","3,077","146","626","1,094","310","576","467","1,208","1,382","515","641","712","6,669","2,894","0","567","2,790","418","25,889","4,421","4,363","2,479","449","2,424","6,071","1,581","366","235","297","51","618","195","191","1,661","78","409","4,234","259","146","3,829","17,460","1,932","685","701","1,223","262","1,000","948","625","624","354","1,638","1,343","240","234","463","3,612","617","545","414","2,282","1,112","1,170","12,786","8,914","2,084","1,788","15,644","1,953","373","1,101","1,376","2,551","2,129","584","2,317","552","2,708","9,135","1,529","107","2,618","789","527","761","251","999","354","1,200","269","5,569","-5,300"
"Q4 2004","181,142","17,148","15,245","1,903","8,473","3,631","3,396","..","1,446","8,193","781","5,970","346","1,096","41,078","8,794","25,195","516","68","834","3,143","1,705","823","10,807","3,103","147","625","1,073","308","587","465","1,214","1,384","528","651","722","6,783","2,929","0","577","2,854","423","26,557","4,531","4,439","2,554","447","2,488","6,355","1,611","373","237","299","51","619","196","190","1,677","77","413","4,295","260","147","3,888","17,402","1,941","696","701","1,237","264","1,010","948","627","627","362","1,619","1,369","240","236","458","3,491","619","540","417","2,306","1,122","1,184","12,853","8,928","2,104","1,821","15,888","1,961","375","1,118","1,394","2,547","2,137","616","2,336","567","2,837","9,225","1,549","108","2,625","798","529","765","245","1,019","361","1,226","134","5,560","-5,426"
"Q1 2005","184,591","17,192","15,238","1,954","8,447","3,689","3,311","..","1,447","8,434","802","6,149","350","1,133","41,638","8,880","25,493","528","66","856","3,153","1,835","827","11,005","3,172","152","636","1,103","317","598","461","1,223","1,413","531","665","734","6,946","3,022","0","585","2,909","430","27,051","4,503","4,533","2,654","456","2,539","6,475","1,638","382","236","303","51","621","206","193","1,766","78","417","4,372","262","150","3,960","17,730","1,968","710","727","1,251","272","1,034","978","630","640","368","1,641","1,398","237","235","462","3,587","627","536","429","2,357","1,145","1,212","12,885","8,952","2,087","1,846","16,391","1,981","375","1,122","1,434","2,752","2,151","654","2,381","578","2,963","9,367","1,566","111","2,662","788","543","777","243","1,038","379","1,260","776","6,088","-5,312"
"Q2 2005","187,126","17,303","15,337","1,966","8,490","3,754","3,292","..","1,444","8,497","805","6,179","350","1,163","41,964","8,939","25,798","543","66","872","3,208","1,694","844","11,088","3,165","154","638","1,114","327","604","475","1,224","1,426","537","673","751","7,076","3,072","0","595","2,973","436","27,510","4,585","4,527","2,667","465","2,577","6,767","1,654","382","235","308","54","645","213","193","1,732","79","427","4,486","264","154","4,068","17,928","1,983","720","729","1,286","262","1,052","993","652","654","374","1,674","1,438","235","234","471","3,569","632","536","434","2,398","1,160","1,238","13,227","9,191","2,152","1,884","16,640","1,977","377","1,113","1,439","2,804","2,161","692","2,447","586","3,044","9,490","1,582","113","2,707","803","550","787","240","1,053","367","1,288","1,029","6,144","-5,115"
